sep=,


Bus Id,Signal,Date,Value,Latitude,Longitude


12809,tractionBatterySocSOLEL,2023/10/15 14:29:09,97,44.415718,8.878346


12809,tractionBatterySocSOLEL,2023/10/15 14:34:09,97,44.412964,8.8882


12809,tractionBatterySocSOLEL,2023/10/15 14:39:09,96,44.422256,8.888917


12809,tractionBatterySocSOLEL,2023/10/15 14:44:09,96,44.43654,8.892965


12809,tractionBatterySocSOLEL,2023/10/15 14:49:09,95,44.450184,8.894345


12809,tractionBatterySocSOLEL,2023/10/15 14:54:09,95,44.459957,8.902023


12809,tractionBatterySocSOLEL,2023/10/15 15:09:16,94,44.47006,8.904775


12809,tractionBatterySocSOLEL,2023/10/15 15:14:16,94,44.4611,8.902126


12809,tractionBatterySocSOLEL,2023/10/15 15:19:16,94,44.452824,8.895235


12809,tractionBatterySocSOLEL,2023/10/15 15:24:16,93,44.44107,8.891862


12809,tractionBatterySocSOLEL,2023/10/15 15:29:16,93,44.43148,8.891927


12809,tractionBatterySocSOLEL,2023/10/15 15:34:16,93,44.41995,8.88723


12809,tractionBatterySocSOLEL,2023/10/15 15:39:16,92,44.414005,8.886745


12809,tractionBatterySocSOLEL,2023/10/15 15:44:16,92,44.41209,8.88622


12809,tractionBatterySocSOLEL,2023/10/15 15:49:16,92,44.412075,8.886236


12809,tractionBatterySocSOLEL,2023/10/15 15:54:16,92,44.41292,8.88825


12809,tractionBatterySocSOLEL,2023/10/15 15:59:16,91,44.424618,8.890507


12809,tractionBatterySocSOLEL,2023/10/15 16:04:16,90,44.437366,8.892723


12809,tractionBatterySocSOLEL,2023/10/15 16:09:16,89,44.45307,8.895447


12809,tractionBatterySocSOLEL,2023/10/15 16:14:16,88,44.46459,8.904569


12809,tractionBatterySocSOLEL,2023/10/15 16:20:58,88,44.47003,8.904785


12809,tractionBatterySocSOLEL,2023/10/15 16:25:58,88,44.47002,8.904758


12809,tractionBatterySocSOLEL,2023/10/15 16:30:58,88,44.45953,8.901631


12809,tractionBatterySocSOLEL,2023/10/15 16:35:58,88,44.448315,8.89409


12809,tractionBatterySocSOLEL,2023/10/15 16:40:58,87,44.43752,8.89219


12809,tractionBatterySocSOLEL,2023/10/15 16:45:59,87,44.429058,8.893023


12809,tractionBatterySocSOLEL,2023/10/15 16:50:59,87,44.41791,8.885748


12809,tractionBatterySocSOLEL,2023/10/15 16:55:59,86,44.41191,8.886378


12809,tractionBatterySocSOLEL,2023/10/15 17:05:15,86,44.41193,8.886209


12809,tractionBatterySocSOLEL,2023/10/15 17:10:15,86,44.41289,8.888108


12809,tractionBatterySocSOLEL,2023/10/15 17:15:15,86,44.42016,8.887301


12809,tractionBatterySocSOLEL,2023/10/15 17:20:16,85,44.431084,8.893098


12809,tractionBatterySocSOLEL,2023/10/15 17:25:16,85,44.443768,8.892767


12809,tractionBatterySocSOLEL,2023/10/15 17:30:16,84,44.455437,8.899446


12809,tractionBatterySocSOLEL,2023/10/15 17:42:31,84,44.46998,8.904747


