sep=,


Bus Id,Signal,Date,Value,Latitude,Longitude


12827,tractionBatterySocSOLEL,2023/10/15 15:25:26,98,44.416096,8.876574


12827,tractionBatterySocSOLEL,2023/10/15 15:30:26,98,44.412987,8.888218


12827,tractionBatterySocSOLEL,2023/10/15 15:35:26,98,44.4202,8.887392


12827,tractionBatterySocSOLEL,2023/10/15 15:40:26,97,44.43199,8.893173


12827,tractionBatterySocSOLEL,2023/10/15 15:45:27,96,44.443974,8.892926


12827,tractionBatterySocSOLEL,2023/10/15 15:50:27,96,44.456654,8.900093


12827,tractionBatterySocSOLEL,2023/10/15 15:55:27,95,44.47003,8.904803


12827,tractionBatterySocSOLEL,2023/10/15 16:00:27,95,44.470028,8.904801


12827,tractionBatterySocSOLEL,2023/10/15 16:05:27,94,44.4597,8.901773


12827,tractionBatterySocSOLEL,2023/10/15 16:10:27,94,44.44914,8.894225


12827,tractionBatterySocSOLEL,2023/10/15 16:15:27,94,44.437294,8.892303


12827,tractionBatterySocSOLEL,2023/10/15 16:20:27,94,44.427456,8.892458


12827,tractionBatterySocSOLEL,2023/10/15 16:25:27,94,44.41459,8.886231


12827,tractionBatterySocSOLEL,2023/10/15 16:30:27,94,44.41197,8.88631


12827,tractionBatterySocSOLEL,2023/10/15 16:40:58,94,44.412025,8.886164


12827,tractionBatterySocSOLEL,2023/10/15 16:45:59,93,44.412514,8.888371


12827,tractionBatterySocSOLEL,2023/10/15 16:50:59,93,44.42018,8.887313


12827,tractionBatterySocSOLEL,2023/10/15 16:55:59,92,44.432095,8.893102


12827,tractionBatterySocSOLEL,2023/10/15 17:00:59,92,44.443775,8.892768


12827,tractionBatterySocSOLEL,2023/10/15 17:05:59,92,44.454887,8.898432


12827,tractionBatterySocSOLEL,2023/10/15 17:10:59,91,44.46997,8.904754


12827,tractionBatterySocSOLEL,2023/10/15 17:15:59,91,44.469967,8.904754


12827,tractionBatterySocSOLEL,2023/10/15 17:20:59,90,44.467587,8.90615


12827,tractionBatterySocSOLEL,2023/10/15 17:25:59,90,44.45189,8.89443


12827,tractionBatterySocSOLEL,2023/10/15 17:30:59,90,44.437904,8.891771


12827,tractionBatterySocSOLEL,2023/10/15 17:35:59,90,44.429127,8.892895


12827,tractionBatterySocSOLEL,2023/10/15 17:40:59,89,44.41794,8.885783


12827,tractionBatterySocSOLEL,2023/10/15 17:45:59,89,44.411983,8.886071


12827,tractionBatterySocSOLEL,2023/10/15 17:56:01,89,44.412006,8.88611


12827,tractionBatterySocSOLEL,2023/10/15 18:01:01,89,44.41234,8.888383


12827,tractionBatterySocSOLEL,2023/10/15 18:06:01,89,44.418137,8.885932


12827,tractionBatterySocSOLEL,2023/10/15 18:11:01,88,44.42853,8.893237


12827,tractionBatterySocSOLEL,2023/10/15 18:16:01,88,44.43741,8.892518


12827,tractionBatterySocSOLEL,2023/10/15 18:21:01,87,44.45065,8.894208


12827,tractionBatterySocSOLEL,2023/10/15 18:26:01,87,44.46105,8.902182


12827,tractionBatterySocSOLEL,2023/10/15 18:31:02,86,44.46999,8.904755


12827,tractionBatterySocSOLEL,2023/10/15 18:36:02,86,44.469765,8.90518


12827,tractionBatterySocSOLEL,2023/10/15 18:41:02,86,44.456734,8.900113


12827,tractionBatterySocSOLEL,2023/10/15 18:46:02,86,44.44864,8.894205


12827,tractionBatterySocSOLEL,2023/10/15 18:51:02,85,44.437405,8.892259


12827,tractionBatterySocSOLEL,2023/10/15 18:56:02,85,44.4289,8.89322


12827,tractionBatterySocSOLEL,2023/10/15 19:01:02,84,44.41387,8.886831


12827,tractionBatterySocSOLEL,2023/10/15 19:06:31,84,44.412014,8.886115


12827,tractionBatterySocSOLEL,2023/10/15 19:11:31,84,44.41201,8.886106


12827,tractionBatterySocSOLEL,2023/10/15 19:16:31,84,44.411224,8.886503


12827,tractionBatterySocSOLEL,2023/10/15 19:21:31,84,44.415665,8.88572


12827,tractionBatterySocSOLEL,2023/10/15 19:26:31,83,44.426556,8.891913


12827,tractionBatterySocSOLEL,2023/10/15 19:31:31,83,44.437237,8.892785


12827,tractionBatterySocSOLEL,2023/10/15 19:36:31,82,44.450134,8.894294


12827,tractionBatterySocSOLEL,2023/10/15 19:41:31,81,44.46122,8.902148


12827,tractionBatterySocSOLEL,2023/10/15 19:46:31,81,44.470036,8.904763


12827,tractionBatterySocSOLEL,2023/10/15 19:51:31,81,44.470066,8.904761


12827,tractionBatterySocSOLEL,2023/10/15 19:56:31,81,44.456715,8.90013


12827,tractionBatterySocSOLEL,2023/10/15 20:01:31,80,44.44581,8.89351


12827,tractionBatterySocSOLEL,2023/10/15 20:06:31,80,44.432224,8.892045


12827,tractionBatterySocSOLEL,2023/10/15 20:11:31,80,44.421013,8.887981


12827,tractionBatterySocSOLEL,2023/10/15 20:16:31,80,44.41185,8.887239


12827,tractionBatterySocSOLEL,2023/10/15 20:21:31,79,44.415043,8.881128

