sep=,


Bus Id,Signal,Date,Value,Latitude,Longitude


12825,tractionBatterySocSOLEL,2023/10/15 13:29:56,99,44.41428,8.872334


12825,tractionBatterySocSOLEL,2023/10/15 13:34:56,99,44.415455,8.8739


12825,tractionBatterySocSOLEL,2023/10/15 13:39:56,98,44.41095,8.885965


12825,tractionBatterySocSOLEL,2023/10/15 13:44:56,97,44.41599,8.877147


12825,tractionBatterySocSOLEL,2023/10/15 13:49:57,97,44.42303,8.883467


12825,tractionBatterySocSOLEL,2023/10/15 13:54:57,96,44.44229,8.887745


12825,tractionBatterySocSOLEL,2023/10/15 13:59:57,95,44.46001,8.898679


12825,tractionBatterySocSOLEL,2023/10/15 14:04:57,94,44.482033,8.89892


12825,tractionBatterySocSOLEL,2023/10/15 14:09:57,93,44.501133,8.904839


12825,tractionBatterySocSOLEL,2023/10/15 14:21:59,93,44.49466,8.905195


12825,tractionBatterySocSOLEL,2023/10/15 14:26:59,92,44.476135,8.89922


12825,tractionBatterySocSOLEL,2023/10/15 14:31:59,92,44.460247,8.89846


12825,tractionBatterySocSOLEL,2023/10/15 14:36:59,92,44.446995,8.889247


12825,tractionBatterySocSOLEL,2023/10/15 14:42:00,91,44.428326,8.882916


12825,tractionBatterySocSOLEL,2023/10/15 14:47:00,91,44.418236,8.878353


12825,tractionBatterySocSOLEL,2023/10/15 14:52:00,90,44.41448,8.883213


12825,tractionBatterySocSOLEL,2023/10/15 14:59:44,90,44.412136,8.885393


12825,tractionBatterySocSOLEL,2023/10/15 15:04:44,90,44.415047,8.881643


12825,tractionBatterySocSOLEL,2023/10/15 15:09:44,89,44.41972,8.879855


12825,tractionBatterySocSOLEL,2023/10/15 15:14:44,89,44.429127,8.885174


12825,tractionBatterySocSOLEL,2023/10/15 15:19:44,88,44.44505,8.889153


12825,tractionBatterySocSOLEL,2023/10/15 15:24:44,87,44.46073,8.898028


12825,tractionBatterySocSOLEL,2023/10/15 15:29:44,86,44.47929,8.899549


12825,tractionBatterySocSOLEL,2023/10/15 15:34:44,85,44.49711,8.904433


12825,tractionBatterySocSOLEL,2023/10/15 15:39:44,85,44.495407,8.90508


12825,tractionBatterySocSOLEL,2023/10/15 15:46:25,85,44.494644,8.905162


12825,tractionBatterySocSOLEL,2023/10/15 15:51:25,84,44.47793,8.899676


12825,tractionBatterySocSOLEL,2023/10/15 15:56:25,84,44.46608,8.898205


12825,tractionBatterySocSOLEL,2023/10/15 16:01:25,84,44.452877,8.892808


12825,tractionBatterySocSOLEL,2023/10/15 16:06:25,83,44.433685,8.885818


12825,tractionBatterySocSOLEL,2023/10/15 16:11:25,83,44.42225,8.88398


12825,tractionBatterySocSOLEL,2023/10/15 16:16:25,82,44.416504,8.876532


12825,tractionBatterySocSOLEL,2023/10/15 16:21:25,82,44.41091,8.886133


12825,tractionBatterySocSOLEL,2023/10/15 16:29:07,82,44.41211,8.885378


12825,tractionBatterySocSOLEL,2023/10/15 16:34:08,81,44.414974,8.881705


